Start,Finish,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1820,1822,"Ecuadorian War of
Independence
","Free Province of
Guayaquil",Kingdom of Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Ecuadorian_War_of_Independence,https://en.wikipedia.org/wiki/Ecuadorian_War_of_Independence
1820,1823,Trienio Liberal,"Kingdom of Spain
Kingdom of France",Partisans of the Cortes,,https://en.wikipedia.org/wiki/Trienio_Liberal,
1820,1875,Texas–Indian wars,"Spain
Mexico
Republic of Texas
United States",Comanche,,https://en.wikipedia.org/wiki/Texas%E2%80%93Indian_wars,
1821,1821,"Siamese invasion of
Kedah",Rattanakosin Kingdom,Kedah Sultanate,,https://en.wikipedia.org/wiki/Siamese_invasion_of_Kedah,https://en.wikipedia.org/wiki/Siamese_invasion_of_Kedah
1821,1825,"Ijebu and Ife war
against Owu","Ijebu
Ife",Owu Kingdom,,https://en.wikipedia.org/wiki/Owu_Kingdom#Ijebu_and_Ife_war_against_Owu,https://en.wikipedia.org/wiki/Owu_Kingdom#Ijebu_and_Ife_war_against_Owu
1821,1821,"Wallachian uprising
(1821)",Ottoman Empire,Principality of Wallachia,,https://en.wikipedia.org/wiki/Wallachian_uprising_(1821),https://en.wikipedia.org/wiki/Wallachian_uprising_(1821)
1821,1821,Niš Rebellion (1821),Ottoman Empire,Niš Secret Organization,,https://en.wikipedia.org/wiki/Ni%C5%A1_Rebellion_(1821),
1821,1823,"Ottoman–Persian War
(1821–23)",Qajar Persia,Ottoman Empire,,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Persian_War_(1821%E2%80%9323),https://en.wikipedia.org/wiki/Ottoman%E2%80%93Persian_War_(1821%E2%80%9323)
1821,1829,"Greek War of
Independence","Greek revolutionaries
Britain
United States of the
Ionian Islands","Ottoman Empire
Egypt Eyalet
Beylik of Tunis (naval
battles)",,https://en.wikipedia.org/wiki/Greek_War_of_Independence,https://en.wikipedia.org/wiki/Greek_War_of_Independence
,,,"Kingdom of France
(1827 only)
Russian Empire
(1827 only)",,,,
1821,1837,Padri War,Dutch Empire,"Indigenous population of West
Sumatra",,https://en.wikipedia.org/wiki/Padri_War,
1821,1829,"Spanish attempts to
reconquer Mexico",Mexico,Spanish Empire,,https://en.wikipedia.org/wiki/Spanish_attempts_to_reconquer_Mexico,https://en.wikipedia.org/wiki/Spanish_attempts_to_reconquer_Mexico
1821,1870,"Comanche–Mexico
Wars","Comanche
Kiowa",Mexico,,https://en.wikipedia.org/wiki/Comanche%E2%80%93Mexico_Wars,https://en.wikipedia.org/wiki/Comanche%E2%80%93Mexico_Wars
1821,1821,1821 Alghero revolt[7],Kingdom of Sardinia,Rebels of Alghero,,,
1822,1823,"Mexican annexation of
El Salvador","First Mexican Empire
Guatemala",El Salvador,,https://en.wikipedia.org/wiki/Mexican_annexation_of_El_Salvador,https://en.wikipedia.org/wiki/Mexican_annexation_of_El_Salvador
1822,1823,"Casa Mata Plan
Revolution",Mexican Republicans,First Mexican Empire,,https://en.wikipedia.org/wiki/Casa_Mata_Plan_Revolution,https://en.wikipedia.org/wiki/Casa_Mata_Plan_Revolution
1822,1825,"Brazilian War of
Independence",Empire of Brazil,Kingdom of Portugal,,https://en.wikipedia.org/wiki/Brazilian_War_of_Independence,https://en.wikipedia.org/wiki/Brazilian_War_of_Independence
1822,1844,"Haitian occupation of
Santo Domingo",Republic of Spanish Haiti,Haiti,,https://en.wikipedia.org/wiki/Haitian_occupation_of_Santo_Domingo,https://en.wikipedia.org/wiki/Haitian_occupation_of_Santo_Domingo
1823,1823,"Hundred Thousand
Sons of Saint Louis","France
Armée de la Foi",Partisans of the Cortes,,https://en.wikipedia.org/wiki/Hundred_Thousand_Sons_of_Saint_Louis,https://en.wikipedia.org/wiki/Hundred_Thousand_Sons_of_Saint_Louis
1823,1823,"Ochomogo War
",Republicans,Imperialists,"Mexican
annexation of Central
America",https://en.wikipedia.org/wiki/Ochomogo_War,https://en.wikipedia.org/wiki/Central_America_under_Mexican_rule#Civil_war_in_Costa_Rica
1823,1823,"Demerara rebellion of
1823",British Empire,Demerara slaves,,https://en.wikipedia.org/wiki/Demerara_rebellion_of_1823,https://en.wikipedia.org/wiki/Demerara_rebellion_of_1823
1823,1823,"Expedition to the West
Coast of Borneo","Royal Netherlands East
Company",Chinese Indonesian rebels,,https://en.wikipedia.org/wiki/Expedition_to_the_West_Coast_of_Borneo,https://en.wikipedia.org/wiki/Expedition_to_the_West_Coast_of_Borneo
1823,1823,Revolt of Querétaro,"Provisional Government of
Mexico",Mexican Empire,,https://en.wikipedia.org/wiki/Revolt_of_Quer%C3%A9taro,
1823,1831,"First Anglo-Ashanti
War",Ashanti Empire,British Empire,,https://en.wikipedia.org/wiki/First_Anglo-Ashanti_War,https://en.wikipedia.org/wiki/First_Anglo-Ashanti_War
1823,1824,First Greek civil war,"Primates and supporters
of the Government","Military leaders and supporters of
Philiki Etaireia",,https://en.wikipedia.org/wiki/Greek_civil_wars_of_1824%E2%80%931825,
1824,1824,"Chumash revolt of
1824",,,,https://en.wikipedia.org/wiki/Chumash_revolt_of_1824,https://en.wikipedia.org/wiki/Chumash_revolt_of_1824
1824,1824,Bathurst War,British Empire,Wiradjuri,,https://en.wikipedia.org/wiki/Bathurst_War,
1824,1824,"Confederation of the
Equator Revolt",Empire of Brazil,Confederation of the Equator,,https://en.wikipedia.org/wiki/Confederation_of_the_Equator,https://en.wikipedia.org/wiki/Confederation_of_the_Equator
1824,1824,First Bone War,Dutch Empire,Sulawesi Rebels,,https://en.wikipedia.org/wiki/First_Bone_War,
1824,1824,April Revolt,Absolutists,Liberals,,https://en.wikipedia.org/wiki/April_Revolt,
1824,1825,"Second Greek civil
war","Roumeliotes and Islanders
(Hydra)",Moreotes,,https://en.wikipedia.org/wiki/Greek_civil_wars_of_1824%E2%80%931825,https://en.wikipedia.org/wiki/Greek_civil_wars_of_1824%E2%80%931825
1824,1826,"First Anglo-Burmese
War","Britain
British East India",Burmese Empire,,https://en.wikipedia.org/wiki/First_Anglo-Burmese_War,https://en.wikipedia.org/wiki/First_Anglo-Burmese_War
,,,"Company
Native Tribes",,,,
1825,1825,Second Bone War,Dutch Empire,Sulawesi Rebels,,https://en.wikipedia.org/wiki/Second_Bone_War,
1825,1825,Battle of Tripoli (1825),Kingdom of Sardinia,Tripolitania,,https://en.wikipedia.org/wiki/Battle_of_Tripoli_(1825),
1825,1828,"Aegean Sea Anti-
Piracy Operations of
the United States",United States,Greek Pirates,,https://en.wikipedia.org/wiki/Aegean_Sea_Anti-Piracy_Operations_of_the_United_States,https://en.wikipedia.org/wiki/Aegean_Sea_Anti-Piracy_Operations_of_the_United_States
1825,1825,Decembrist revolt,Russian Empire,Decembrists,,https://en.wikipedia.org/wiki/Decembrist_revolt,
1825,1828,Cisplatine War,Empire of Brazil,"United Provinces of the Río
de la PlataThirty-Three Orientals",,https://en.wikipedia.org/wiki/Cisplatine_War,
1825,1830,Java War,"Dutch Empire
Pro-Netherlands Javanese","Rebellion forces of Prince
Diponegoro",,https://en.wikipedia.org/wiki/Java_War,
1825,1825,"Franco-Trarzan War
of 1825","France
Comte de Villèle",Forces of Muhammad al Habib,,https://en.wikipedia.org/wiki/Franco-Trarzan_War_of_1825,https://en.wikipedia.org/wiki/Franco-Trarzan_War_of_1825
1826,1826,Katamanso War,"Dutch Empire
British Empire
Netherlands
Denmark",Ashanti Empire,,https://en.wikipedia.org/wiki/Katamanso_War,
1826,1837,"Kurdish revolt of
1826–1837[8]",Ottoman Empire,Kurdish rebels,,,
1826,1829,"First Central American
Civil War",Liberals,Conservatives,,https://en.wikipedia.org/wiki/First_Central_American_Civil_War,https://en.wikipedia.org/wiki/First_Central_American_Civil_War
1826,1828,"Russo-Persian War
(1826–28)
",Russian Empire,Persian Empire,"Russo-
Persian Wars",https://en.wikipedia.org/wiki/Russo-Persian_War_(1826%E2%80%9328),https://en.wikipedia.org/wiki/Russo-Persian_War_(1826%E2%80%9328)
1826,1826,"Chernigov Regiment
revolt",Russian Empire,Decembrists,,https://en.wikipedia.org/wiki/Chernigov_Regiment_revolt,https://en.wikipedia.org/wiki/Chernigov_Regiment_revolt
1826,1831,Sikh–Wahhabi War,Sikh Empire,"Mujahideen
Kingdom of Amb
Peshawari Sardars
Pashtun tribes",,https://en.wikipedia.org/wiki/Syed_Ahmad's_Holy_War,
1826,1828,Siamese-Lao War,Siam,"Anouvong
King of Vientiane",,https://en.wikipedia.org/wiki/Chao_Anu_Rebellion,
1827,1827,"1827 Honduran coup
d'état",State of Honduras,Honduran Conservatives,,https://en.wikipedia.org/wiki/1827_Honduran_coup_d'%C3%A9tat,https://en.wikipedia.org/wiki/1827_Honduran_coup_d'%C3%A9tat
1827,1827,Winnebago War,"United States
Local militia",Winnebago,,https://en.wikipedia.org/wiki/Winnebago_War,
1828,1828,"Peruvian–Bolivian
War of 1828",Peru,Bolivia,,https://en.wikipedia.org/wiki/Peruvian%E2%80%93Bolivian_War_of_1828,https://en.wikipedia.org/wiki/Peruvian%E2%80%93Bolivian_War_of_1828
1828,1829,"Gran Colombia–Peru
War",Gran Colombia,Peru,,https://en.wikipedia.org/wiki/Gran_Colombia%E2%80%93Peru_War,https://en.wikipedia.org/wiki/Gran_Colombia%E2%80%93Peru_War
1828,1828,"Irish and German
Mercenary Soldiers'
Revolt",Empire of Brazil,Irish and German mercenaries,,https://en.wikipedia.org/wiki/Irish_and_German_Mercenary_Soldiers'_Revolt,https://en.wikipedia.org/wiki/Irish_and_German_Mercenary_Soldiers'_Revolt
1828,1828,"Bombardment of
Tripoli (1828)",Tripolitania,Kingdom of the Two Sicilies,,https://en.wikipedia.org/wiki/Bombardment_of_Tripoli_(1828),https://en.wikipedia.org/wiki/Bombardment_of_Tripoli_(1828)
1828,1834,Liberal Wars,"Liberal forces of Queen
Mary II","Absolutist forces of King
Miguel",,https://en.wikipedia.org/wiki/Liberal_Wars,
,,,"United Kingdom
Spain",,,,
1828,1829,"Russo-Turkish War
(1828–29)",Russian Empire,Ottoman Empire,,https://en.wikipedia.org/wiki/Russo-Turkish_War_(1828%E2%80%9329),https://en.wikipedia.org/wiki/Russo-Turkish_War_(1828%E2%80%9329)
1828,1832,Black War,British Empire,Tasmanian Aborigines,,https://en.wikipedia.org/wiki/Black_War,
1829,1830,"Austrian expedition
against Morocco
(1829)",Austrian Empire,Morocco,,https://en.wikipedia.org/wiki/Austrian_expedition_against_Morocco_(1829),https://en.wikipedia.org/wiki/Austrian_expedition_against_Morocco_(1829)
1829,1830,"Chilean Civil War of
1829–30","Pelucones
Military of Chile
Chilean Army
Chilean Navy",Pipiolos,,https://en.wikipedia.org/wiki/Chilean_Civil_War_of_1829%E2%80%9330,https://en.wikipedia.org/wiki/Chilean_Civil_War_of_1829%E2%80%9330
1829,1833,Anglo-Khasi War,British Empire,Khasi people,,https://en.wikipedia.org/wiki/Anglo-Khasi_War,
Start,Finish,Name of conflict,Belligerents,,,,
,,,"Victorious party (if
applicable)","Defeated party (if
applicable)",,,
1830,1830,Freiämtersturm,Freie Ämter militia,Canton of Aargau,,https://en.wikipedia.org/wiki/Frei%C3%A4mtersturm,
1830,1830,"July Revolution
French Revolution of 1830",House of Orléans,House of Bourbon,,https://en.wikipedia.org/wiki/July_Revolution,
1830,1831,November Uprising,Russian Empire,Polish insurgents,,https://en.wikipedia.org/wiki/November_Uprising,
1830,1831,Belgian Revolution,"Southern Provinces of the
Netherlands","United Kingdom of the
Netherlands",,https://en.wikipedia.org/wiki/Belgian_Revolution,
1830,1847,French conquest of Algeria,France,"Ottoman Empire
Algiers",,https://en.wikipedia.org/wiki/French_conquest_of_Algeria,
1830,1850,Port Phillip District Wars,British Empire,Australian Aborigines,,https://en.wikipedia.org/wiki/Port_Phillip_District_Wars,
1831,1831,"Dutch expedition on the west
coast of Sumatra",Dutch Empire,Sumatran Rebels,,https://en.wikipedia.org/wiki/Dutch_expedition_on_the_west_coast_of_Sumatra,https://en.wikipedia.org/wiki/Dutch_expedition_on_the_west_coast_of_Sumatra
1831,1831,Merthyr Rising,British Empire,Coal Miners,,https://en.wikipedia.org/wiki/Merthyr_Rising,
1831,1831,Turner's Rebellion,United States,Slave Rebels,,https://en.wikipedia.org/wiki/Turner's_Rebellion,
1831,1833,Kol uprising,British Empire,Adivasi Rebels,,https://en.wikipedia.org/wiki/Kol_uprising,
1831,1834,"Siamese–Vietnamese War
(1831–34)","Vietnam
Vietnamese protectorate of
Cambodia",Siam,,https://en.wikipedia.org/wiki/Siamese%E2%80%93Vietnamese_War_(1831%E2%80%9334),https://en.wikipedia.org/wiki/Siamese%E2%80%93Vietnamese_War_(1831%E2%80%9334)
1831,1832,Baptist War,British Empire,Rebel slaves,,https://en.wikipedia.org/wiki/Baptist_War,
1831,1832,Naning War,East India Company,Malay rebels,,https://en.wikipedia.org/wiki/Naning_War,
1831,1833,"Egyptian–Ottoman War
(1831–33)",Egypt,"Ottoman Empire
Russian Empire
(from 1833)",,https://en.wikipedia.org/wiki/Egyptian%E2%80%93Ottoman_War_(1831%E2%80%9333),https://en.wikipedia.org/wiki/Egyptian%E2%80%93Ottoman_War_(1831%E2%80%9333)
1831,1833,Yagan Resistance,British Empire,Yagan,,https://en.wikipedia.org/wiki/Yagan,
1831,1833,Bosnian Uprising (1831–32),Ottoman Empire,Bosnian ayans,,https://en.wikipedia.org/wiki/Bosnian_Uprising_(1831%E2%80%9332),
1832,1832,Black Hawk War,"United States
Ho-Chunk
Menominee
Potawatomi","Black Hawk's British Band:
Sauk
Fox
Kickapoo",,https://en.wikipedia.org/wiki/Black_Hawk_War,
1832,1832,June Rebellion,France,French Republicans,,https://en.wikipedia.org/wiki/June_Rebellion,
1833,1834,Desert Campaign (1833–34),Argentina,Mapuche rebels,,https://en.wikipedia.org/wiki/Desert_Campaign_(1833%E2%80%9334),
1833,1835,Lê Văn Khôi revolt,Nguyễn dynasty,Lê Văn Khôi rebels,,https://en.wikipedia.org/wiki/L%C3%AA_V%C4%83n_Kh%C3%B4i_revolt,
1833,1839,Albanian Revolts of 1833–39,Ottoman Empire,Albanian rebels,,https://en.wikipedia.org/wiki/Albanian_Revolts_of_1833%E2%80%9339,
1833,1840,First Carlist War,Liberals and Allies:,Carlists:,,https://en.wikipedia.org/wiki/First_Carlist_War,
,,,"Forces of Queen
Isabella II of Spain
British Empire
France
Forces of Queen
Mary II of Portugal","Forces of Infante
Carlos of Spain
Forces of King
Miguel of Portugal",,,
1834,1834,Peruvian civil war of 1834,Government of Peru,Revolutionaries,,https://en.wikipedia.org/wiki/Peruvian_civil_war_of_1834,
1834,1834,Coorg War,,,,https://en.wikipedia.org/wiki/Coorg_War,
1834,1834,Priest Jovica's Rebellion,Ottoman Empire,Christian peasants,,https://en.wikipedia.org/wiki/Priest_Jovica's_Rebellion,
1834,1834,"Peasants' Revolt of 1834
(Palestine)",Egypt Eyalet,Palestinian Peasants,,https://en.wikipedia.org/wiki/Peasants'_Revolt_of_1834_(Palestine),https://en.wikipedia.org/wiki/Peasants'_Revolt_of_1834_(Palestine)
1834,1834,Battle of Pinjarra,British Empire,Pinjarup,,https://en.wikipedia.org/wiki/Battle_of_Pinjarra,
1834,1836,Sixth Xhosa War,"British Empire
Free Khoikhoi",Xhosa Tribes,,https://en.wikipedia.org/wiki/Xhosa_Wars#Sixth_war_.281834.E2.80.931836.29,
1835,1858,"1835–58 revolt in Ottoman
Tripolitania",Ottoman Empire,Libyan rebels,,https://en.wikipedia.org/wiki/1835%E2%80%9358_revolt_in_Ottoman_Tripolitania,https://en.wikipedia.org/wiki/1835%E2%80%9358_revolt_in_Ottoman_Tripolitania
1835,1836,Revolution of the Reforms,State of Venezuela,Reformists,,https://en.wikipedia.org/wiki/Revolution_of_the_Reforms,
1835,1836,Salaverry-Santa Cruz War,"Supporters of Luis José de
Orbegoso and Andrés de
Santa Cruz","Supporters of Felipe
Santiago Salaverry",,https://en.wikipedia.org/wiki/Salaverry-Santa_Cruz_War,
1835,1835,League War,San José,"Alajuela
Cartago
Cartago",,https://en.wikipedia.org/wiki/League_War,
1835,1835,Malê Revolt,Empire of Brazil,Muslim Nagos,,https://en.wikipedia.org/wiki/Mal%C3%AA_Revolt,
1835,1835,Zacatecas Rebellion,Mexico,Zacatecan rebels,,https://en.wikipedia.org/wiki/Zacatecas_rebellion_of_1835,
1835,1836,Texas Revolution,Republic of Texas,Mexico,,https://en.wikipedia.org/wiki/Texas_Revolution,
1835,1842,"Second Seminole War
",United States,Seminole Tribes,Seminole Wars,https://en.wikipedia.org/wiki/Second_Seminole_War,https://en.wikipedia.org/wiki/Seminole_Wars
1835,1845,Ragamuffin War,Empire of Brazil,"Riograndense Republic
Juliana Republic",,https://en.wikipedia.org/wiki/Ragamuffin_War,
1835,1840,Cabanagem,Empire of Brazil,"Indians
Cabanos",,https://en.wikipedia.org/wiki/Cabanagem,
1836,1836,Posavina rebellion (1836),Ottoman Empire,Bosnian nobility,,https://en.wikipedia.org/wiki/Posavina_rebellion_(1836),
1836,1836,"Belogradchik rebellion
(1836)",Ottoman Empire,Serbian peasants,,https://en.wikipedia.org/wiki/Belogradchik_rebellion_(1836),https://en.wikipedia.org/wiki/Belogradchik_rebellion_(1836)
1836,1836,Berkovitsa rebellion (1836),Ottoman Empire,Bulgarian peasants,,https://en.wikipedia.org/wiki/Berkovitsa_rebellion_(1836),
1836,1836,Pirot rebellion,Ottoman Empire,Orthodox peasants,,https://en.wikipedia.org/wiki/Pirot_rebellion,
,,,,,,,
1836,1839,War of the Confederation,"Chile
North Peru
Argentine Confederation","Peru-Bolivian
Confederation",,https://en.wikipedia.org/wiki/War_of_the_Confederation,
1837,1838,"Siege of Herat (1838)
Afghan-Persian War",Emirate of Afghanistan,Qajar Iran,,https://en.wikipedia.org/wiki/Siege_of_Herat_(1838),
1837,1837,Revolt of 1837 (New Mexico),Mexico,Cantón,,https://en.wikipedia.org/wiki/Revolt_of_1837_(New_Mexico),
1837,1838,Sabinada,Empire of Brazil,Bahia Republic,,https://en.wikipedia.org/wiki/Sabinada,
1837,1838,"Lower Canada Rebellion
","United Kingdom
British North America","Patriote movement
American
Volunteers","Rebellions of
1837",https://en.wikipedia.org/wiki/Lower_Canada_Rebellion,https://en.wikipedia.org/wiki/Rebellions_of_1837
1837,1838,"Upper Canada Rebellion
","United Kingdom
British North America","Hunters' Lodges
Republic of Canada","Rebellions of
1837",https://en.wikipedia.org/wiki/Upper_Canada_Rebellion,https://en.wikipedia.org/wiki/Rebellions_of_1837
1837,1839,Dutch–Ahanta War,Dutch Empire,Ahanta Kingdom,,https://en.wikipedia.org/wiki/Dutch%E2%80%93Ahanta_War,
1837,1847,Kenesary's Rebellion[9],Russian Empire,Kazakh Khanate,,https://en.wikipedia.org/wiki/Kenesary's_Rebellion,
1838,1840,"Muhammad Ali's Yemeni
Expedition
",Ottoman Empire,Zaidis,"Yemeni–
Ottoman Conflicts",https://en.wikipedia.org/wiki/Yemeni%E2%80%93Ottoman_Conflicts#Muhammad_Ali's_Yemeni_Expedition,https://en.wikipedia.org/wiki/Yemeni%E2%80%93Ottoman_Conflicts#Muhammad_Ali's_Yemeni_Expedition
1838,1838,Battle of Blood River,Voortrekkers,Zulu kingdom,,https://en.wikipedia.org/wiki/Battle_of_Blood_River,
1838,1838,Mormon War,Non-Mormon Missourians,"Latter Day Saint
movement",,https://en.wikipedia.org/wiki/1838_Mormon_War,
1838,1839,Balaiada,Empire of Brazil,"Balaios
African slaves",,https://en.wikipedia.org/wiki/Balaiada,
1838,1839,Pastry War,France,Mexico,,https://en.wikipedia.org/wiki/Pastry_War,
1839,1839,Newport Rising,British Empire,Chartists,,https://en.wikipedia.org/wiki/Newport_Rising,
1839,1839,Züriputsch,Zürich,Conservative Putschists,,https://en.wikipedia.org/wiki/Z%C3%BCriputsch,
1839,1841,"Egyptian–Ottoman War
(1839–41)","British Empire
Austrian Empire
Russian Empire
Kingdom of Prussia
Ottoman Empire","Egypt
France
Spain",,https://en.wikipedia.org/wiki/Egyptian%E2%80%93Ottoman_War_(1839%E2%80%9341),https://en.wikipedia.org/wiki/Egyptian%E2%80%93Ottoman_War_(1839%E2%80%9341)
1839,1840,Khivan campaign of 1839,Khanate of Khiva,Russian Empire,,https://en.wikipedia.org/wiki/Khivan_campaign_of_1839,
1839,1841,War of the Supremes,,,,https://en.wikipedia.org/wiki/War_of_the_Supremes,
1838,1842,First Anglo-Afghan War,Emirate of Afghanistan,"British Empire
British East India
Company",,https://en.wikipedia.org/wiki/First_Anglo-Afghan_War,
1839,1842,First Opium War,British Empire,Qing Empire of China,,https://en.wikipedia.org/wiki/First_Opium_War,
1839,1847,Albanian Revolt of 1847,Ottoman Empire,Albanian rebels,,https://en.wikipedia.org/wiki/Albanian_Revolt_of_1847,
1839,1851,Uruguayan Civil War,"Colorados
Argentine Unitarians
France
Riograndense
Republic
British Empire
Empire of Brazil
Italian Legion","Blancos
Federalists
Argentine
Confederation",,https://en.wikipedia.org/wiki/Uruguayan_Civil_War,
1840,1841,Cambodian rebellion (1840),"Khmer anti-Vietnamese
rebels
Support:
Rattanakosin Kingdom
(Siam)",Nguyễn dynasty (Vietnam),,https://en.wikipedia.org/wiki/Cambodian_rebellion_(1840),
1830s,1860s,Eumerella Wars,British Empire,Gunditjmara people,,https://en.wikipedia.org/wiki/Eumerella_Wars,
Start,Finish,Name of conflict,Belligerents,,,,
,,,"Victorious party (if
applicable)","Defeated party (if
applicable)",,,
1841,1841,Niš Rebellion (1841),Ottoman Empire,Christian rebels,,https://en.wikipedia.org/wiki/Ni%C5%A1_Rebellion_(1841),
1841,1841,1841 rebellion in Guria,Russian Empire,Guria Peasants,,https://en.wikipedia.org/wiki/1841_rebellion_in_Guria,
1841,1845,"Siamese–Vietnamese War
(1841–45)","Vietnam
Cambodia protectorates loyal
to King Ang Duong",,,https://en.wikipedia.org/wiki/Siamese%E2%80%93Vietnamese_War_(1841%E2%80%9345),https://en.wikipedia.org/wiki/Siamese%E2%80%93Vietnamese_War_(1841%E2%80%9345)
1841,1842,Sino-Sikh War,China,Sikh Empire,,https://en.wikipedia.org/wiki/Sino-Sikh_War,
1842,1847,Kurdish revolt of 1842–1847[8],Ottoman Empire,Emirate of Botan,,,
1842,1842,Shoorcha rebellion,Russian Empire,"Chuvash Peasants
Tatar Peasants
Mari Peasants",,https://en.wikipedia.org/wiki/Shoorcha_rebellion,
1842,1868,Russian Conquest of Bukhara,Russian Empire,Emirate of Bukhara,,https://en.wikipedia.org/wiki/Russian_Conquest_of_Bukhara,
1842,1843,Mier expedition,Mexico,Texas,,https://en.wikipedia.org/wiki/Mier_expedition,
1843,1844,"Peruvian civil war of 1843–
1844",Revolutionaries,Peruvian government,,https://en.wikipedia.org/wiki/Peruvian_civil_war_of_1843%E2%80%931844,https://en.wikipedia.org/wiki/Peruvian_civil_war_of_1843%E2%80%931844
1843,1844,Albanian Revolt of 1843–44,Ottoman Empire,Albanian rebels,,https://en.wikipedia.org/wiki/Albanian_Revolt_of_1843%E2%80%9344,
1843,1843,"Wairau Affray
",Ngāti Toa,British Settlers,New Zealand Wars,https://en.wikipedia.org/wiki/Wairau_Affray,https://en.wikipedia.org/wiki/New_Zealand_Wars
1843,1843,Battle of One Tree Hill,British Settlers,Jagera people,,https://en.wikipedia.org/wiki/Battle_of_One_Tree_Hill,
1844,1856,"Dominican War of
Independence",Dominican Republic,Haiti,,https://en.wikipedia.org/wiki/Dominican_War_of_Independence,https://en.wikipedia.org/wiki/Dominican_War_of_Independence
1844,1844,Franco-Moroccan War,France,Morocco,,https://en.wikipedia.org/wiki/Franco-Moroccan_War,
1844,1847,Franco-Tahitian War,"France
Tahitian allies","Tahiti
Huahine
Raiatea
Bora Bora and Tahaa",,https://en.wikipedia.org/wiki/Franco-Tahitian_War,
1844,1845,Malespín's War,"El Salvador
Honduras",Nicaragua,,https://en.wikipedia.org/wiki/Malesp%C3%ADn's_War,
1845,1845,Albanian Revolt of 1845,Ottoman Empire,Albanian rebels,,https://en.wikipedia.org/wiki/Albanian_Revolt_of_1845,
1845,1846,First Anglo-Sikh War,"British East India
Company",Sikh Empire,,https://en.wikipedia.org/wiki/First_Anglo-Sikh_War,
1845,1846,"Flagstaff War
Northern War
",Ngāpuhi Iwi,"British Empire
Forces of Tamati
Waka Nene",New Zealand Wars,https://en.wikipedia.org/wiki/Flagstaff_War,https://en.wikipedia.org/wiki/New_Zealand_Wars
1846,1847,,Venezuela,Federal rebels,,,
1846,1846,Revolution of Maria da Fonte,Portuguese Empire,Tax Resisters,,https://en.wikipedia.org/wiki/Revolution_of_Maria_da_Fonte,
1846,1846,"Hutt Valley Campaign
",British Empire,Ngāti Toa,New Zealand Wars,https://en.wikipedia.org/wiki/Hutt_Valley_Campaign,https://en.wikipedia.org/wiki/New_Zealand_Wars
,,,"British Settlers
Te Āti Awa",,,,
1846,1846,Kraków uprising,Austrian Empire,"Polish independence
movement",,https://en.wikipedia.org/wiki/Krak%C3%B3w_uprising,
1846,1846,Galician slaughter,Austrian Empire,Polish peasants,,https://en.wikipedia.org/wiki/Galician_slaughter,
1846,1846,"Dutch intervention in Northern
Bali (1846)",Netherlands,Bali,,https://en.wikipedia.org/wiki/Dutch_intervention_in_Northern_Bali_(1846),https://en.wikipedia.org/wiki/Dutch_intervention_in_Northern_Bali_(1846)
1846,1846,Revolt of the Faitiões,Portuguese Empire,Faitiões,,https://en.wikipedia.org/wiki/Revolt_of_the_Faiti%C3%B5es,
1846,1847,Patuleia,Cartistas,"Septembrists
Miguelists",,https://en.wikipedia.org/wiki/Patuleia,
1846,1847,Seventh Xhosa War,British Empire,Xhosa Tribes,,https://en.wikipedia.org/wiki/Xhosa_Wars#Seventh_war_.281846.E2.80.931847.29,
1846,1849,"Second Carlist War
War of the Madrugadores","Forces of Queen Isabella
II of Spain",Carlists,,https://en.wikipedia.org/wiki/Second_Carlist_War,
1846,1848,Mexican–American War,United States,Mexico,,https://en.wikipedia.org/wiki/Mexican%E2%80%93American_War,
1846,1848,"Wanganui Campaign
","British Empire
British Settlers
Māori Kupapa",Māori Iwis,New Zealand Wars,https://en.wikipedia.org/wiki/Wanganui_Campaign,https://en.wikipedia.org/wiki/New_Zealand_Wars
1847,1847,Sonderbund War,Swiss Confederation,Sonderbund,,https://en.wikipedia.org/wiki/Sonderbund_War,
1847,1850,Sierra Gorda Rebellion,Mexico,Tax Resisters,,https://en.wikipedia.org/wiki/Sierra_Gorda#History,
1847,1855,Cayuse War,United States,Cayuse,,https://en.wikipedia.org/wiki/Cayuse_War,
1847,1933,Caste War of Yucatán,Mexico,Maya Free State,,https://en.wikipedia.org/wiki/Caste_War_of_Yucat%C3%A1n,
1847,1847,"Operations against the Baizai
(1847)[10]",British Empire,Baizai Tribesmen,,,
1848,1849,"Venezuelan Civil War of
1848–1849",State of Venezuela,Rebels,,https://en.wikipedia.org/wiki/Venezuelan_Civil_War_of_1848%E2%80%931849,https://en.wikipedia.org/wiki/Venezuelan_Civil_War_of_1848%E2%80%931849
1848,1849,"Revolutions of 1848 in the
Italian states","Austrian Empire
Kingdom of Two Sicilies
Papal States","Kingdom of Sicily
Provisional Government
of Milan
Republic of San Marco
Roman Republic
Central Italy Rebels
Supported by:
Kingdom of Sardinia",,https://en.wikipedia.org/wiki/Revolutions_of_1848_in_the_Italian_states,https://en.wikipedia.org/wiki/Revolutions_of_1848_in_the_Italian_states
1848,1848,"Greater Poland Uprising
(1848)",Kingdom of Prussia,Polish rebels,,https://en.wikipedia.org/wiki/Greater_Poland_Uprising_(1848),https://en.wikipedia.org/wiki/Greater_Poland_Uprising_(1848)
